iter	Passed	Remaining
0	47	47927
1	49	24457
2	49	16604
3	50	12644
4	51	10288
5	52	8714
6	53	7570
7	54	6715
8	55	6069
9	55	5537
10	56	5093
11	57	4740
12	58	4433
13	59	4174
14	60	3940
15	60	3734
16	61	3558
17	62	3394
18	62	3239
19	63	3096
20	63	2967
21	64	2845
22	64	2744
23	65	2645
24	65	2553
25	65	2465
26	66	2382
27	66	2306
28	66	2238
29	67	2175
30	67	2113
31	67	2055
32	68	2000
33	68	1948
34	68	1896
35	69	1849
36	69	1805
37	69	1764
38	70	1726
39	70	1688
40	70	1653
41	70	1618
42	71	1585
43	71	1554
44	71	1523
45	72	1495
46	72	1468
47	72	1441
48	73	1416
49	73	1393
50	73	1368
51	73	1347
52	74	1325
53	74	1304
54	74	1284
55	74	1264
56	75	1244
57	75	1227
58	75	1208
59	76	1190
60	76	1173
61	76	1156
62	76	1140
63	76	1124
64	77	1109
65	77	1094
66	77	1080
67	77	1065
68	77	1052
69	78	1038
70	78	1026
71	78	1013
72	78	1001
73	79	989
74	79	978
75	79	966
76	79	955
77	79	945
78	80	934
79	80	924
80	80	914
81	80	905
82	81	895
83	81	886
84	81	877
85	81	868
86	81	859
87	82	851
88	82	843
89	82	835
90	82	827
91	83	819
92	83	812
93	83	804
94	83	797
95	83	790
96	84	783
97	84	776
98	84	769
99	84	763
100	85	756
101	85	750
102	85	744
103	85	738
104	85	732
105	86	726
106	86	720
107	86	715
108	86	709
109	87	704
110	87	698
111	87	693
112	87	688
113	87	683
114	88	678
115	88	673
116	88	668
117	88	663
118	89	659
119	89	654
120	89	649
121	89	645
122	89	640
123	90	636
124	90	632
125	90	628
126	90	623
127	90	619
128	91	615
129	91	611
130	91	608
131	91	604
132	92	600
133	92	596
134	92	593
135	92	589
136	93	585
137	93	582
138	93	578
139	93	575
140	93	572
141	94	568
142	94	565
143	94	562
144	94	559
145	95	555
146	95	552
147	95	549
148	95	546
149	95	543
150	96	540
151	96	538
152	96	535
153	96	532
154	97	529
155	97	527
156	97	524
157	97	522
158	98	519
159	98	516
160	98	514
161	98	511
162	99	509
163	99	506
164	99	504
165	99	501
166	100	499
167	100	497
168	100	494
169	100	492
170	101	490
171	101	488
172	101	486
173	101	483
174	102	481
175	102	479
176	102	477
177	102	475
178	103	473
179	103	470
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	458
186	105	456
187	105	454
188	105	452
189	105	451
190	106	449
191	106	447
192	106	445
193	106	443
194	107	441
195	107	439
196	107	438
197	107	436
198	107	434
199	108	432
200	108	431
201	108	429
202	108	427
203	109	426
204	109	424
205	109	422
206	109	421
207	110	419
208	110	417
209	110	416
210	110	414
211	111	413
212	111	411
213	111	409
214	111	408
215	112	406
216	112	405
217	112	403
218	112	402
219	113	400
220	113	399
221	113	397
222	113	396
223	113	394
224	114	393
225	114	391
226	114	390
227	114	388
228	115	387
229	115	386
230	115	384
231	115	383
232	115	381
233	116	380
234	116	379
235	116	377
236	116	376
237	117	375
238	117	373
239	117	372
240	117	371
241	118	369
242	118	368
243	118	367
244	118	366
245	119	365
246	119	363
247	119	362
248	119	361
249	120	360
250	120	359
251	120	357
252	120	356
253	121	355
254	121	354
255	121	353
256	121	352
257	122	351
258	122	349
259	122	348
260	122	347
261	123	346
262	123	345
263	123	344
264	123	343
265	123	342
266	124	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	125	333
274	126	332
275	126	331
276	126	330
277	126	329
278	126	327
279	127	326
280	127	325
281	127	324
282	127	323
283	128	322
284	128	321
285	128	320
286	128	319
287	129	318
288	129	317
289	129	317
290	129	316
291	129	315
292	130	314
293	130	313
294	130	312
295	130	311
296	131	310
297	131	309
298	131	308
299	131	307
300	132	306
301	132	305
302	132	304
303	132	303
304	132	302
305	133	302
306	133	301
307	133	300
308	133	299
309	134	298
310	134	297
